index;state;date;country;recovered
6277;no;2020-02-15;Cabo Verde;0.0
6278;no;2020-02-15;Cuba;0.0
6279;no;2020-02-15;Czechia;0.0
6280;no;2020-02-15;Denmark;0.0
6281;no;2020-02-15;Diamond Princess;0.0
6282;no;2020-02-15;Djibouti;0.0
6283;no;2020-02-15;Dominica;0.0
6284;no;2020-02-15;Dominican Republic;0.0
6285;no;2020-02-15;Ecuador;0.0
6286;no;2020-02-15;Egypt;0.0
6287;no;2020-02-15;El Salvador;0.0
6288;no;2020-02-15;Equatorial Guinea;0.0
6289;no;2020-02-15;Eritrea;0.0
6290;no;2020-02-15;Estonia;0.0
6291;Victoria;2020-02-15;Australia;4.0
6292;no;2020-02-15;Cyprus;0.0
6293;no;2020-02-15;Burundi;0.0
